listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built,type_condos,type_farm,type_multi_family,type_single_family,type_townhome
11.608244735642321,872.0,1.0,2.0,1.0,1.0,1.0,1.0,1935.0,0.0,0.0,0.0,1.0,0.0
13.249878458265119,1690.0,2.0,3.0,2.0,2.0,2.0,2.0,1986.0,0.0,0.0,0.0,1.0,0.0
13.304519920584285,1831.0,2.0,4.0,2.0,2.0,2.0,1.0,1941.0,0.0,0.0,0.0,1.0,0.0
13.493928313146206,3372.0,2.0,5.0,3.0,3.0,3.0,3.0,1994.0,0.0,0.0,0.0,1.0,0.0
13.539758373899955,2058.0,3.0,3.0,3.0,3.0,3.0,2.0,1976.0,0.0,0.0,0.0,1.0,0.0
12.969214528909768,1639.0,2.0,4.0,2.0,2.0,2.0,2.0,2002.0,0.0,0.0,0.0,1.0,0.0
12.560247968016562,1118.0,1.0,3.0,2.0,2.0,2.0,,1978.0,0.0,0.0,0.0,1.0,0.0
13.296318365198623,1733.0,1.0,4.0,2.0,2.0,2.0,2.0,2014.0,0.0,0.0,0.0,1.0,0.0
12.25486757159303,846.0,1.0,2.0,1.0,1.0,1.0,1.0,1950.0,0.0,0.0,0.0,1.0,0.0
13.058360179622305,1612.0,2.0,3.0,2.0,2.0,2.0,2.0,2022.0,0.0,0.0,0.0,0.0,1.0
13.396961730063138,2001.0,2.0,4.0,2.0,2.0,2.0,2.0,1997.0,0.0,0.0,0.0,1.0,0.0
13.1421679654829,2287.0,1.0,4.0,2.0,2.0,2.0,2.0,1950.0,0.0,0.0,0.0,1.0,0.0
13.112315061750808,1716.0,1.0,3.0,2.0,2.0,2.0,2.0,1970.0,0.0,0.0,0.0,1.0,0.0
13.270785106659046,1900.0,1.0,3.0,3.0,3.0,3.0,2.0,1978.0,0.0,0.0,0.0,1.0,0.0
13.527696476799726,2848.0,2.0,3.0,3.0,2.0,2.0,2.0,1973.0,0.0,0.0,0.0,1.0,0.0
